BSU	Gene	S-Value
BSU31630	mrpD	0.8930969
BSU31640	mrpE	0.608951268
BSU31650	mrpF	0.833201785
BSU31660	mrpG	0.56543182
BSU32110	yumC	0.053243974
BSU32170	dapF	0.284818259
BSU32670	sufB	-0.189106119
BSU32680	iscU	-0.881118452
BSU32690	sufS	-0.606251266
BSU32700	sufD	-0.445795796
BSU32710	sufC	0.740419498
BSU33660	rghRA	-0.839602658
BSU33900	eno	-3.659641491
BSU33910	pgm	-1.845235465
BSU33940	gapA	-1.325164942
BSU34790	trxB	-5.099774381
BSU35290	prfB	-0.561221554
BSU35300	secA	-1.760536279
BSU35530	tagO	-1.729282114
BSU35600	tuaB	0.092544933
BSU35660	mnaA	-0.223562735
BSU35700	tagH	0.346852194
BSU35710	tagG	-1.476315751
BSU35720	tagF	-0.401984553
BSU35740	tagD	0.089264879
BSU35750	tagA	-0.866856505
BSU35760	tagB	-0.520285406
BSU36410	mbl	-0.149658673
BSU36760	murAA	0.02982663
BSU36900	glyA	0.825139444
BSU37010	prfA	1.586797067
BSU37150	pyrG	1.331571129
BSU38120	rodA	-3.365374945
BSU38490	menA	-3.885526266
BSU38690	yxlC	-0.071708186
BSU40400	walK	-0.974187887
BSU40410	walR	-1.439776089
BSU40440	dnaC	-1.070626161
BSU40550	ppaC	0.254839239
BSU40890	rpsR	0.967863471
BSU40900	ssbA	1.451608473
BSU41050	rnpA	0.971321054
BSU_MISC_RNA_2	scr	-1.070368879
BSU_MISC_RNA_35	rnpB	0.67630561
BSUtRNA23	trnI-Asn	-0.095888103
none	control	0.287932395
