Condition	Aztreonam	Cefoxitin	Ciprofloxacin	Nalidixic_acid	Fusidic_acid	Vancomycin	Cycloserine_D	Fosfomycin	EDTA	Ethidium_bromide	Benzalkonium	Doxycycline	A22	Chlorhexidine	Puromycin	Actinomycin_D	Phenazine_monosulfate	Gliotoxin	Holomycin	Thiolutin	Acriflavine	Copper(II)_stress	Dibucaine	Cefaclor	Dipyridyl	Cerulenin	Triclosan	Mupirocin	PAC-holo	Sulfamonomethoxine	Trimethoprim	Rifampicin	Iron(II)_stress	Propidium_iodide	Novobiocin	SDS
Gliotoxin	0.133507722219107	-0.0910203425885666	0.022280255312595	0.159219815076979	0.0775598415343111	-0.0185436471245615	-0.0229116722259168	-0.0406536220861844	0.181685677053233	0.277786227252203	0.202159169694697	0.103616042792225	0.0788839117044381	0.227958355540849	0.157566161149199	0.0715874809363086	0.194550593022641	1	0.517467508810663	0.536850887892273	0.142461534246975	0.209492371168594	0.222223298250121	-0.0799970298895807	-0.209581398597773	-0.111723911269906	-0.133758876275594	-0.140050870308796	0.133410205180555	-0.109925574232648	-0.149990960890261	0.0288364203422959	-0.104863491658426	0.049359756222646	-0.197164555898295	-0.221790608121717
Holomycin	0.231295453649994	-0.0452265928551202	0.0970661790844962	0.289187489360312	0.160357828496801	-0.00453845802613032	-0.202460106870998	-0.24065481519507	0.0288891126741144	0.125054673396868	-0.00446687845455623	-0.154674296984862	-0.00401207793052491	0.0966848321694984	-0.00177524532882772	0.149410127295907	0.311226106835777	0.517467508810663	1	0.747361671018785	0.170953262070989	0.284513500152359	0.232016229141498	0.0334614326429873	0.117675123363643	-0.23434833981138	-0.0952716886684702	-0.231732167483363	-0.327628843000674	-0.125771067898427	-0.05566153438525	0.133851065962815	-0.151621370423378	-0.0575814380269735	-0.0150351221369845	-0.0958973392757218
Thiolutin	0.161358057994133	-0.12197864939512	0.00648199911376854	0.179078770337461	0.109344824497807	0.0309379805109073	-0.196591395269824	-0.195284835787004	0.136878320779045	0.103863872176584	0.172591733651997	-0.0673581054275655	0.038447642560393	0.12780152986487	0.0368157179980049	0.183745502676153	0.279062257196845	0.536850887892273	0.747361671018785	1	0.138996769724394	0.326287541909511	0.300659924621522	0.0663417914323383	0.160751644450575	-0.128545337063451	-0.0258151499465457	-0.163237232279444	-0.336592809001555	-0.103476552376194	-0.152452447651984	0.0531863128016728	-0.084459359847745	-0.0955302619352838	-0.0677006275643576	-0.071390843471461
Acriflavine	0.250428740541438	0.0703621263406419	-0.000533967044396842	0.123093111902689	0.0665633479480022	-0.00939894013596469	-0.148758394181574	-0.0595300851108608	0.0491867940776991	0.434048312323512	0.0526765446033972	0.118574128710291	-0.167196178698882	0.210922226209805	0.108805207410931	0.0251880352197686	-0.0626933810091322	0.142461534246975	0.170953262070989	0.138996769724394	1	0.306833819858248	0.320122222479051	-0.0518882379518684	-0.0684572463051032	-0.170148075486102	-0.126151316108716	-0.196492935528907	-0.0273970155103748	-0.212198558346941	-0.22835087853324	-0.173497508556708	-0.124286865465705	-0.0272804669557453	-0.0176017238953659	-0.261678677411418
Copper(II)_stress	0.198480152864278	-0.0419908140350966	-0.0133985999319373	-0.0826410117589904	-0.189181762412359	-0.11163654131258	0.019441181620511	0.0360476852502871	0.128317355100813	0.227797886912665	0.12499570599413	0.102212341999875	-0.138768020517677	0.156582263375167	0.11438754242793	0.0799019573051481	0.118454925734231	0.209492371168594	0.284513500152359	0.326287541909511	0.306833819858248	1	0.424826670685048	0.305039957567748	0.147376717995381	-0.100534658187419	0.0765049942793659	-0.267086102788869	-0.230127378114863	-0.158889664983084	-0.219653914154097	-0.229870096379855	-0.127192029318765	-0.0418940270737066	-0.301070843245466	-0.190682577244091
Dibucaine	0.143468771334522	-0.109673745537123	-0.243427839166391	-0.0998675930717429	0.0299860500567816	0.0803261887360427	0.0513498498693728	-0.0774227137824161	0.174807955749673	0.109154196578085	0.246120487605784	0.0907257170534092	0.180966524372099	0.344871350719146	0.313547218884302	0.186524174241506	0.161452701558376	0.222223298250121	0.232016229141498	0.300659924621522	0.320122222479051	0.424826670685048	1	0.0293171448178015	0.160108738703202	-0.0453848004801326	-0.0762074917488345	-0.233968795973464	-0.163133871141946	-0.0338011666695106	-0.230821401504387	-0.0572787480683475	0.0576264028239411	-0.0127401014874363	-0.184598044296109	-0.138433377607257
Cefaclor	0.240191478766221	0.102090700140737	0.108439100625363	-0.119718555179301	-0.242667553983205	-0.0435693243433429	0.0998906570322231	0.150575243683519	0.141674836327222	0.0541604413987913	-0.114188273394925	-0.157547397709219	-0.210924878334645	-0.198129676588044	-0.081170959202131	-0.170209347565893	0.0698001031006449	-0.0799970298895807	0.0334614326429873	0.0663417914323383	-0.0518882379518684	0.305039957567748	0.0293171448178015	1	0.316366053830636	0.000389874377625624	0.0949227146979012	-0.188594249243574	-0.365309310419593	0.137604991766733	-0.134835103577571	-0.172875278000115	-0.0857002055710757	-0.120905647729491	-0.0870978375808051	0.151505858523171
Dipyridyl	-0.122713493785695	-0.168092404800047	-0.226856045299877	-0.207279281625527	-0.100627075846903	0.00197955672569741	-0.00395736998087438	0.0050091448973217	0.119244210515555	-0.275435931963337	-0.0268657238816172	-0.177121604009063	-0.210472458878491	-0.0302287392125339	-0.228719722180617	0.32762491598046	0.231901996883352	-0.209581398597773	0.117675123363643	0.160751644450575	-0.0684572463051032	0.147376717995381	0.160108738703202	0.316366053830636	1	0.22385901243889	0.159642142662199	-0.181015898113822	-0.569683768337912	0.174230970935359	-0.0481519746098761	0.0624986109355248	-0.0692600237218645	-0.11826778754085	0.141256690274825	0.317222533105547
Cerulenin	-0.190030704059533	-0.172030149588144	-0.254481063305744	-0.165331512737958	0.0364375347660246	0.0874538101086171	0.0455647173260227	0.16522207682935	0.0277628469192409	-0.151015823542302	-0.0610797685799512	-0.0622285382162442	-0.0791553337879718	-0.179805296901054	-0.201091037860029	0.117437999077668	-0.145839282345123	-0.111723911269906	-0.23434833981138	-0.128545337063451	-0.170148075486102	-0.100534658187419	-0.0453848004801326	0.000389874377625624	0.22385901243889	1	0.274363222326334	-0.0727714114583445	-0.136469622399827	0.201270753559809	-0.0326087879952414	-0.0365562823325323	0.142177561750805	5.18235113801429e-05	0.0130700732752964	0.185516685898177
Triclosan	-0.205751793128497	-0.166236611564333	-0.075367066139969	0.0624160442350043	0.0478692562931522	-0.234618037348598	0.110996989824876	0.105446445463319	-0.0170057620472216	0.090211923431511	0.194537303753783	0.135412126203038	-0.21405378290424	-0.0730303441973163	-0.290687011870272	0.0207097371058787	-0.0339271002501704	-0.133758876275594	-0.0952716886684702	-0.0258151499465457	-0.126151316108716	0.0765049942793659	-0.0762074917488345	0.0949227146979012	0.159642142662199	0.274363222326334	1	-0.000471854758033508	-0.133954358291127	-0.0547043580761599	-0.0591153563755849	-0.11694114534389	-0.18300712973902	-0.352880847395606	-0.191446888778084	-0.00595618325665965
Mupirocin	-0.228772232937954	-0.164441495495176	-0.0161608644689852	-0.17079968763894	-0.0776503906187605	-0.067215365740436	0.0123037700892866	-0.0442348895028523	-0.149383898800713	-0.180927704184498	-0.159777430768578	-0.0985503225318346	-0.021909289988444	-0.035366275227504	-0.151835901794319	-0.122925835650067	-0.144302233685427	-0.140050870308796	-0.231732167483363	-0.163237232279444	-0.196492935528907	-0.267086102788869	-0.233968795973464	-0.188594249243574	-0.181015898113822	-0.0727714114583445	-0.000471854758033508	1	0.372217395389768	-0.0446109446979628	0.05980362271439	0.0672626566718849	0.0302714284566019	0.0882374437782673	0.132365705899344	0.174042397078864
PAC-holo	-0.177918550055686	0.0082642492184658	0.064937561100964	-0.131853376318585	-0.000978612732740695	-0.115609751857888	0.0928543125865002	-0.0541385741721218	-0.0407373499023775	0.0557938703463425	0.143711220843665	0.225814498198996	0.125603638515057	0.24713781290904	0.229261069471331	-0.16191536517696	-0.193070175824557	0.133410205180555	-0.327628843000674	-0.336592809001555	-0.0273970155103748	-0.230127378114863	-0.163133871141946	-0.365309310419593	-0.569683768337912	-0.136469622399827	-0.133954358291127	0.372217395389768	1	-0.0321438977930577	0.0876359589085737	-0.0268565802571619	0.0748756434844545	0.280581220408344	-0.0146339623999821	-0.0849503138551045
Sulfamonomethoxine	-0.110671527821688	-0.103260349891398	0.00673479447770198	-0.0707762147336736	-0.209651947678662	-0.0593664423853256	0.0289039946036655	0.0133442834337205	-0.0129807717317863	-0.222130052587282	-0.0598518978942608	-0.103741650856481	-0.0709750132865799	-0.0619567358495142	-0.0867631212314088	-0.0715101511781073	-0.0309858313349031	-0.109925574232648	-0.125771067898427	-0.103476552376194	-0.212198558346941	-0.158889664983084	-0.0338011666695106	0.137604991766733	0.174230970935359	0.201270753559809	-0.0547043580761599	-0.0446109446979628	-0.0321438977930577	1	0.532176324138767	-0.0329687284337165	0.039427767780433	0.0140309603099957	-0.0365762803210997	0.18960901966553
Trimethoprim	-0.247307495111931	-0.165811941675285	0.116151183791378	0.0149512677662319	-0.185870377451173	-0.160593126221218	-0.192186075533779	-0.125060956562481	-0.193501848538037	-0.292000758946697	-0.252489368513043	-0.177449109536961	-0.0961752998267345	-0.126249533439894	-0.168574232453402	-0.0869348726763538	-0.100266308537995	-0.149990960890261	-0.05566153438525	-0.152452447651984	-0.22835087853324	-0.219653914154097	-0.230821401504387	-0.134835103577571	-0.0481519746098761	-0.0326087879952414	-0.0591153563755849	0.05980362271439	0.0876359589085737	0.532176324138767	1	0.0252179797153643	0.0230880286939917	0.0645928225616426	0.113279156230774	0.0817960211150928
Rifampicin	-0.173759539873228	-0.136054522210724	-0.047813582950465	0.185178118499657	0.0982664982493434	0.308755437657385	-0.150376841541358	-0.342123690086665	-0.150601362785524	-0.236460704399128	-0.120244043458153	-0.267791909564101	0.286993168137148	0.0928433636994034	0.120323665880094	0.0896801171801864	0.0730114457858209	0.0288364203422959	0.133851065962815	0.0531863128016728	-0.173497508556708	-0.229870096379855	-0.0572787480683475	-0.172875278000115	0.0624986109355248	-0.0365562823325323	-0.11694114534389	0.0672626566718849	-0.0268565802571619	-0.0329687284337165	0.0252179797153643	1	0.104612791011607	0.0829134024492034	0.154990955867548	0.148112631517357
Iron(II)_stress	-0.172293713341794	-0.274105436214812	-0.176133155678494	-0.21371633928762	-0.138935007253242	0.0749521634948084	-0.230690331542379	-0.184854056750739	-0.272923558214648	-0.38150379734316	-0.281207411568338	-0.247907273394079	0.116790072948731	0.0798783561487327	0.162159051519251	-0.0793470758271677	0.012232366227727	-0.104863491658426	-0.151621370423378	-0.084459359847745	-0.124286865465705	-0.127192029318765	0.0576264028239411	-0.0857002055710757	-0.0692600237218645	0.142177561750805	-0.18300712973902	0.0302714284566019	0.0748756434844545	0.039427767780433	0.0230880286939917	0.104612791011607	1	0.540912830455075	0.333663612348319	0.418004265282727
Propidium_iodide	-0.250730908167334	-0.239409949933285	-0.139425064657815	-0.241670834993248	-0.181308956171393	-0.130224235631229	-0.137765674342701	-0.287932984354443	-0.123553122712166	-0.339309904972208	-0.311885226968103	-0.286666981255247	0.0128451840990101	0.194757644034282	0.228253762324088	-0.0888804362597525	-0.0240949753433967	0.049359756222646	-0.0575814380269735	-0.0955302619352838	-0.0272804669557453	-0.0418940270737066	-0.0127401014874363	-0.120905647729491	-0.11826778754085	5.18235113801429e-05	-0.352880847395606	0.0882374437782673	0.280581220408344	0.0140309603099957	0.0645928225616426	0.0829134024492034	0.540912830455075	1	0.333368091126747	0.354973981128829
Novobiocin	-0.156616951057588	-0.138951310626595	0.0142909448343122	-0.0146768089201816	-0.058629622755494	0.0132912537977585	-0.232569391881151	-0.188629695541601	-0.213209085174833	-0.433167640866382	-0.438863716269063	-0.42921474610804	-0.162616173591693	-0.120922371653383	-0.128054044195547	-0.0737058424121713	-0.121269368467322	-0.197164555898295	-0.0150351221369845	-0.0677006275643576	-0.0176017238953659	-0.301070843245466	-0.184598044296109	-0.0870978375808051	0.141256690274825	0.0130700732752964	-0.191446888778084	0.132365705899344	-0.0146339623999821	-0.0365762803210997	0.113279156230774	0.154990955867548	0.333663612348319	0.333368091126747	1	0.449378663979227
SDS	-0.340274905067714	-0.298821124709042	-0.0851820597144622	-0.280106865037331	-0.141748105792067	-0.126206242587882	-0.236352713982824	-0.228725949295285	-0.0140928103241436	-0.462246832118051	-0.336581479279382	-0.313835295422028	-0.0511756641327485	-0.0698762359672311	-0.226073738197132	-0.0527793641236915	0.0842547468194066	-0.221790608121717	-0.0958973392757218	-0.071390843471461	-0.261678677411418	-0.190682577244091	-0.138433377607257	0.151505858523171	0.317222533105547	0.185516685898177	-0.00595618325665965	0.174042397078864	-0.0849503138551045	0.18960901966553	0.0817960211150928	0.148112631517357	0.418004265282727	0.354973981128829	0.449378663979227	1
