"Aztreonam"	"Cefoxitin"	"Ciprofloxacin"	"Nalidixic_acid"	"Fusidic_acid"	"Vancomycin"	"Cycloserine_D"	"Fosfomycin"	"EDTA"	"Ethidium_bromide"	"Benzalkonium"	"Doxycycline"	"A22"	"Chlorhexidine"	"Puromycin"	"Actinomycin_D"	"Phenazine_monosulfate"	"Gliotoxin"	"Holomycin"	"Thiolutin"	"Acriflavine"	"Copper(II)_stress"	"Dibucaine"	"Cefaclor"	"Dipyridyl"	"Cerulenin"	"Triclosan"	"Mupirocin"	"PAC-holo"	"Sulfamonomethoxine"	"Trimethoprim"	"Rifampicin"	"Iron(II)_stress"	"Propidium_iodide"	"Novobiocin"	"SDS"
"Benzalkonium"	0.0368993111219504	0.113666805561459	-0.336305779528605	-0.13466478947791	0.395309964891963	-0.0351150618657477	0.515461738872999	0.23692931927071	0.5998782564667	0.620227954228595	1	0.82803736479462	0.32905645243281	0.469091075994715	0.292273766987266	0.467079910461667	0.401364732728195	0.423850449111022	0.0891860596793128	0.24246426955396	0.281962484364347	0.374884849060275	0.486934042548256	-0.148858249779912	-0.104671430443424	-0.144044380293763	0.306456344921217	-0.331378401018826	0.108383481866526	-0.318378299337747	-0.515710066233001	-0.314452105672956	-0.562677661419347	-0.529125309682891	-0.796871703495948	-0.637718111375372
"Doxycycline"	0.124364847560909	0.266837913762316	-0.112508211875817	-0.0566227814550589	0.266923122762925	-0.205699514767476	0.49417253735766	0.316769694597114	0.517780780497434	0.705841478834249	0.82803736479462	1	0.209175011426114	0.343490543903118	0.275190709379991	0.184180024574213	0.201781134292065	0.302630050517404	-0.108540572623184	-0.00825959431565203	0.333594227934801	0.305612587731213	0.28479719777994	-0.171922963784496	-0.323294913364597	-0.194029153452599	0.280223931730016	-0.221809001824081	0.294901525748018	-0.313792882226677	-0.42353991604688	-0.505397452781105	-0.560326255714356	-0.504212444229577	-0.787443160750232	-0.663010811761563
"A22"	-0.0396185905722423	0.0987479628400875	-0.26209563373073	-0.0884963009493514	0.437212111131001	0.378176095077034	0.112215863283625	-0.257704869136935	0.174150807927036	0.0633864564826368	0.32905645243281	0.209175011426114	1	0.390809206072601	0.533253419566349	0.152403197635716	0.283665369051047	0.206372589007525	0.00603986169839787	0.0405525184669031	-0.115181675877648	-0.191193576160692	0.260942879977883	-0.445638787511607	-0.341304590197111	-0.209440330649282	-0.377379767928215	-0.00704818836620773	0.289349605375022	-0.228141064518035	-0.213960960566228	0.416232497678432	0.125731810680805	0.0798734885804121	-0.215336881438046	-0.171541112743633
"Chlorhexidine"	-0.352878070489118	-0.425040441078805	-0.47586225607724	-0.328497877337004	0.183084110332395	-0.173927037557745	-0.0862087883130648	-0.494955449577476	0.159469538852256	0.0777722642981746	0.469091075994715	0.343490543903118	0.390809206072601	1	0.561824206610243	0.474764177719464	0.483760163196542	0.434448910238852	0.192218093141707	0.269695594310961	0.315966088746651	0.26331038837705	0.586959249186014	-0.423864050470433	-0.113724299696251	-0.295951462589807	-0.181167033024168	-0.0683489624019212	0.316878100019725	-0.254319994330136	-0.235364559576	0.152699770405084	0.141952101681742	0.285888974386598	-0.206442836668793	-0.131439811738411
"Puromycin"	0.169868708804731	0.12669496628431	-0.015589474928235	0.0923720344002753	0.208329238653607	0.136060888103791	0.161645438574461	-0.193589608958105	0.298530848786806	0.309136961760465	0.292273766987266	0.275190709379991	0.533253419566349	0.561824206610243	1	-0.0934773065071736	0.069102291477436	0.393422043064914	0.0744430695688599	0.0930675339779877	0.32839208817784	0.194641725276468	0.477109927696359	-0.276579260946688	-0.480913934084993	-0.460520487863891	-0.497434924800384	-0.206689618760039	0.387351087695556	-0.33412661209123	-0.340521723404479	0.101268882727098	0.0941130055654696	0.228315964797666	-0.276268395431007	-0.393794486545137
"Actinomycin_D"	-0.420979812613642	-0.446769541917739	-0.754068147882617	-0.503618968458956	0.274646928755946	0.087944668741964	-0.0234370132446181	-0.111527258234264	0.1468688755098	-0.120037140788095	0.467079910461667	0.184180024574213	0.152403197635716	0.474764177719464	-0.0934773065071736	1	0.624818976721145	0.166893151487494	0.229130924959137	0.340950587079348	0.0422532653386926	0.205104471656549	0.435639389346059	-0.183277417929055	0.494204910714118	0.225609482730119	0.155247701204421	-0.210861734759842	-0.271687005901507	-0.108976374491498	-0.206232821483533	0.141193446916527	-0.0420297045225109	-0.0891924659524782	-0.146017922518287	0.00904775735390823
"Phenazine_monosulfate"	-0.336408259113225	-0.431089028231491	-0.511761867357079	-0.376125116879432	0.167758833051277	-0.202951467921871	-0.0766249658680307	-0.351636402404014	0.324654959829511	-0.00808772657482223	0.401364732728195	0.201781134292065	0.283665369051047	0.483760163196542	0.069102291477436	0.624818976721145	1	0.372584474535774	0.465275839191661	0.532933345864178	0.0149242237293476	0.325244971186396	0.460334285482802	0.0423206124912597	0.399765127845439	-0.131764371934654	0.0295896697177186	-0.287354203350215	-0.304079078346868	-0.114614962931161	-0.215149304240909	0.13107535918852	-0.0147813878807209	-0.0137246572194715	-0.20012550410845	0.0744174966220053
"Gliotoxin"	0.258778722841346	0.00109424726945437	0.0459840469767131	0.275096874619096	0.279926561858049	-0.055718615251951	-0.0528168498555939	-0.170522674684853	0.345044706252614	0.515109204420689	0.423850449111022	0.302630050517404	0.206372589007525	0.434448910238852	0.393422043064914	0.166893151487494	0.372584474535774	1	0.721577977959099	0.748491193398463	0.465723627854114	0.484764661952724	0.500747390608302	-0.150540383694097	-0.282403106534051	-0.443703350652758	-0.189945646112864	-0.361506328977567	0.0286213953982903	-0.415635343356291	-0.372576462802852	-0.0383103221031297	-0.297002781128159	-0.114411605966132	-0.429758040334754	-0.493852425510237
"Holomycin"	0.31986775609485	-0.0325108191456683	0.150459824059479	0.405717923194646	0.253379725690715	0.0337559989038593	-0.37607870191662	-0.34794872830569	0.122541717221242	0.25288459514034	0.0891860596793128	-0.108540572623184	0.00603986169839787	0.192218093141707	0.0744430695688599	0.229130924959137	0.465275839191661	0.721577977959099	1	0.944856648922749	0.415691409828857	0.513774134691812	0.455254321594292	0.107722425745972	0.167210157482359	-0.4244753372834	-0.144251135635378	-0.488326366021377	-0.504243704496358	-0.317625249927744	-0.228020191037723	0.157512298563864	-0.248070658345648	-0.168680767406569	-0.122248639936689	-0.227752030036282
"Thiolutin"	0.238973414377996	-0.121329589279897	-0.00711191651942471	0.259666891570683	0.234893151576669	0.00954247738582221	-0.301384120070109	-0.304464795709297	0.248478319211719	0.263050957848243	0.24246426955396	-0.00825959431565203	0.0405525184669031	0.269695594310961	0.0930675339779877	0.340950587079348	0.532933345864178	0.748491193398463	0.944856648922749	1	0.396709602316471	0.58877353958611	0.565444855665434	0.134028388117832	0.238095710444355	-0.319127101835171	-0.050673039420697	-0.487169606826893	-0.518165969160969	-0.319307683880847	-0.32747310428235	0.0814019254133141	-0.23886987261691	-0.200458357102945	-0.2116622818057	-0.222113203382046
"Acriflavine"	0.469703381106814	0.247611175615853	0.134682606251338	0.295370203171578	0.198148360842265	-0.00781627145101833	-0.0839031660070143	-0.00688831867540199	0.212921892352929	0.660926558824397	0.281962484364347	0.333594227934801	-0.115181675877648	0.315966088746651	0.32839208817784	0.0422532653386926	0.0149242237293476	0.465723627854114	0.415691409828857	0.396709602316471	1	0.602914228045463	0.554799838653067	-0.000523380126492268	-0.187745860699862	-0.431548316243576	-0.144521587825011	-0.451564819478742	-0.0844351542076047	-0.517318106111921	-0.492700929194749	-0.330567832986393	-0.338273112427372	-0.207929064052488	-0.312475645073471	-0.551443121975838
"Copper(II)_stress"	0.352697667398746	0.0519344029767361	-0.0513130858959619	0.00996217734609224	-0.124970074182082	-0.181253385013807	0.10749451657714	0.10411109146494	0.39993168298838	0.497345346873149	0.374884849060275	0.305612587731213	-0.191193576160692	0.26331038837705	0.194641725276468	0.205104471656549	0.325244971186396	0.484764661952724	0.513774134691812	0.58877353958611	0.602914228045463	1	0.710503849484694	0.462504512274101	0.219412382722651	-0.246551999049452	0.137830628819861	-0.592878462699362	-0.416181592904901	-0.325613311014375	-0.493890049964866	-0.442047144897324	-0.361273769104249	-0.276792432578492	-0.519306764455595	-0.407424432938843
"Dibucaine"	0.148396958353731	-0.127824761562945	-0.386013909824452	-0.151236712513734	0.135325655979863	0.0592756964724158	0.0798473485490192	-0.125825395266806	0.400829597348384	0.317380539693093	0.486934042548256	0.28479719777994	0.260942879977883	0.586959249186014	0.477109927696359	0.435639389346059	0.460334285482802	0.500747390608302	0.455254321594292	0.565444855665434	0.554799838653067	0.710503849484694	1	0.0741232898678888	0.188381076276502	-0.193708809570101	-0.105025246925879	-0.536383246392844	-0.273845892988884	-0.292440433838683	-0.511594982491718	-0.127265224735571	-0.097812176022316	-0.0918190260160277	-0.412319832423885	-0.330074010584619
"Cefaclor"	0.336463120613666	0.185688888972812	0.164714171061025	-0.0272271827553479	-0.423988029646603	-0.0932688341249025	0.165958603797198	0.331990844760501	0.223722137916788	0.0707469517685833	-0.148858249779912	-0.171922963784496	-0.445638787511607	-0.423864050470433	-0.276579260946688	-0.183277417929055	0.0423206124912597	-0.150540383694097	0.107722425745972	0.134028388117832	-0.000523380126492268	0.462504512274101	0.0741232898678888	1	0.514801882609956	0.102409717479985	0.222986989574036	-0.364171768498281	-0.622627798367213	0.195483268785357	-0.146953387695629	-0.371448986725884	-0.200717595950396	-0.26230559573101	-0.107872512656158	0.110897046746211
"Dipyridyl"	-0.26830141555821	-0.38803738102747	-0.409851680598065	-0.374037031836945	-0.219668256599785	-0.0589103354286928	-0.0957273617218473	-0.0202595736822375	0.0950729154969627	-0.409596022348802	-0.104671430443424	-0.323294913364597	-0.341304590197111	-0.113724299696251	-0.480913934084993	0.494204910714118	0.399765127845439	-0.282403106534051	0.167210157482359	0.238095710444355	-0.187745860699862	0.219412382722651	0.188381076276502	0.514801882609956	1	0.451379176267568	0.312642624844285	-0.262168536487243	-0.774755287764465	0.301908882024841	0.0192819681183371	0.0611076012699044	0.0479746440239297	-0.0816333888838401	0.211673200827605	0.467568310388092
"Cerulenin"	-0.404126043226252	-0.333603368109956	-0.430012357985556	-0.403688252821492	-0.100991438754908	0.036647421731468	0.101173986335279	0.2463923354112	-0.0661301648445234	-0.401414854938352	-0.144044380293763	-0.194029153452599	-0.209440330649282	-0.295951462589807	-0.460520487863891	0.225609482730119	-0.131764371934654	-0.443703350652758	-0.4244753372834	-0.319127101835171	-0.431548316243576	-0.246551999049452	-0.193708809570101	0.102409717479985	0.451379176267568	1	0.441570279137459	0.0655279803681996	-0.216935600524439	0.400044874454108	0.139082126382716	-0.0231724320473745	0.251553905238842	0.044327922817742	0.18014065433413	0.419636719573337
"Triclosan"	-0.198415398225067	-0.151135445253991	-0.133128878237307	-0.0556652171843709	0.0466679184187156	-0.338702486687487	0.270383825746782	0.318347599306566	0.1527666475106	0.1686773701669	0.306456344921217	0.280223931730016	-0.377379767928215	-0.181167033024168	-0.497434924800384	0.155247701204421	0.0295896697177186	-0.189945646112864	-0.144251135635378	-0.050673039420697	-0.144521587825011	0.137830628819861	-0.105025246925879	0.222986989574036	0.312642624844285	0.441570279137459	1	-0.0430597900874694	-0.250271607404892	0.0277534640757597	-0.0845104418057801	-0.309970896274195	-0.381023602231984	-0.522190486913267	-0.314216350103306	-0.0609799313783679
