BSU	Gene	A22	Acriflavine	Actinomycin_D	Aztreonam	Benzalkonium	Cefaclor	Cefoxitin	Cerulenin	Chlorhexidine	Ciprofloxacin	Copper(II)_stress	Cycloserine_D	Dibucaine	Dipyridyl	Doxycycline	EDTA	Ethidium_bromide	Fosfomycin	Fusidic_acid	Gliotoxin	Holomycin	Iron(II)_stress	Mupirocin	Nalidixic_acid	Novobiocin	PAC-holo	Phenazine_monosulfate	Propidium_iodide	Puromycin	Rifampicin	SDS	Sulfamonomethoxine	Thiolutin	Triclosan	Trimethoprim	Vancomycin
BSU00900	ispD	0.118305251	-0.651889818	-0.244991133	0.2242165015	-1.2905301915	-0.825460621	0.6003784585	1.800520786	-1.240514965	-0.103105295	0.682649301	0.71764034	-0.854598362	0.715764824	1.194628864	-0.747234339	-0.359640947	-2.526294488	0.4987443965	-1.693488817	-2.429913128	-0.2296581195	-0.487184832	0.041441527	0.46610841	-0.022512144	0.503963066	0.027768715	-0.505162409	0.3810193395	1.541257047	1.248521329	-1.950394059	2.450357853	0.8352601655	-0.0122859115
BSU00910	ispF	0.8710026755	-0.069350407	0.218373555	0.7142961785	-0.6017638115	-1.528395236	0.971235565	1.314456627	-1.178751354	-1.246048327	-0.517803273	0.941116747	-0.079644008	-0.935048615	1.040505793	1.279847522	-0.665950862	3.593027838	2.06478834	-0.854840642	-1.578174434	-1.349543279	-0.369254853	-0.457830415	-0.874790618	0.242155585	0.114862067	-0.294577808	-0.524289195	0.3361193245	-0.393659089	-0.700285993	-2.494306719	2.091954743	0.2451289295	0.144122316
BSU00920	gltX	0.8828497205	-0.683139397	-0.265478576	1.2783203355	-1.741558578	0.128633019	-0.781058481	0.57254877	-1.077860155	0.788030182	-0.668242458	-0.937560105	-1.37425504	-0.236047671	0.762230418	-0.250139726	-1.825827646	-1.5980346725	-1.1379814385	0.987691434	0.860515317	-1.2147305655	1.315587164	-0.312949163	1.07173253	0.833473871	0.073358384	0.656594059	-0.856364559	0.0284878205	0.257015451	0.459934511	1.340499243	-1.434713449	0.9619504955	-1.4490104945
BSU00940	cysS	-0.306037926	1.177411626	-3.685135857	0.196783985	-2.452282362	3.632468611	1.683852131	-1.480795852	-0.249196037	1.254620236	1.45729983	-0.829949986	-0.840021035	4.0224125705	-0.779718943	-0.111074181	-1.756888927	-1.862551635	-4.0783076705	-0.993578234	-0.244038503	1.2457546645	-0.17152017	-2.152020049	2.78015274	-2.4984210915	1.493795153	0.614951789	-1.061949243	-0.115210148	2.864643352	0.825607635	0.226537723	-2.693889729	1.5226735885	-2.016434057
BSU01000	secE	-1.2571722855	0.779662487	1.689849788	-1.5976006585	0.591702896	1.050788082	-0.6809299645	1.85403553	-0.190889505	-1.065280153	-1.073372837	-0.156800951	-1.964141269	2.747801607	-1.366547674	1.477359792	-1.691774623	1.722991794	-1.999462823	0.514008374	-1.18385835	0.4659943295	-1.225320733	-2.518290232	-0.250494867	1.247327789	0.187490863	0.318433931	0.095565027	-2.812167748	1.513914806	1.571273496	-0.176392961	1.027774463	0.5037048185	-1.0692607025
BSU01040	rplJ	-0.233794974	-0.621706999	0.369690498	-0.5504040645	-0.3628540805	-0.225839016	0.1127175625	1.441471395	-0.832194739	-0.364229097	-2.51665638	1.014510677	-1.279060955	-0.3755985325	-0.379868681	0.46578051	0.873883173	-0.1852202315	-0.1957065835	-1.11005705	-1.421063582	-2.1238740225	0.759134696	-1.585681777	-0.511977636	-0.0194090615	0.443992493	-0.687573061	-0.747610405	1.2002899055	-0.688505809	0.900637466	-2.113790941	0.344822963	0.273987377	0.7844502995
BSU01050	rplL	-0.6218768965	0.647647928	0.183031692	1.4338925955	-1.21507154	0.764651423	0.3802421375	-0.300179633	-1.290425324	0.887054789	0.478530944	-0.172781424	-0.452224343	-0.8870322325	0.294039478	0.7468681	0.283350219	0.1575194275	-2.5576940425	0.067830113	-0.416844575	-0.3485558685	0.110102572	-1.18824433	-0.225431617	0.205539569	-0.122366386	0.399954233	-0.045318819	-1.435320201	-0.474226293	-0.279386156	0.005011533	-2.341925451	0.2623356885	-0.620378336
BSU01070	rpoB	0.4452853065	-2.891162652	-0.386835863	-5.4299974735	-2.0658261495	-1.141921102	-0.4790593185	-1.509898883	-0.416068398	2.832843967	-2.528390665	-3.592757615	-2.048246609	-0.263165207	-2.19419244	-0.437865854	-5.649533221	-8.132288948	-0.927809518	-0.95746428	-1.706641047	1.638869399	0.553377581	1.900144734	2.845857731	0.6388259845	1.025251948	1.302515944	0.643437746	4.8473584245	2.711379043	-0.335532279	-2.2259445	-1.797601476	1.4661497965	0.419781497
BSU01080	rpoC	0.076399021	-2.838040915	-1.296686702	-5.331948488	-2.3537880575	-1.787425064	-0.913123591	-1.874906217	0.066553644	3.387927108	-1.389671831	-3.60146992	-2.214182045	0.109675805	-1.867728436	-0.455020954	-5.618441325	-5.798654391	-1.8082599305	-2.394486564	-1.706713283	1.9569482915	0.640250272	3.391807993	3.680973691	1.0888184035	-1.726809481	1.349027965	1.093054574	5.5095463985	3.837891591	0.072567485	-0.036214472	-0.655823735	2.5025403655	-0.2504272545
BSU01100	rpsL	0.7773983895	-0.028011184	1.395556918	3.2348604115	0.0237384655	1.452114087	0.9759171245	-0.948120357	0.701291174	1.494859102	-0.956884049	-0.519640696	0.615440882	-0.422741869	0.351373833	-0.031262502	1.154442878	-1.8359222365	0.2036384115	0.299514838	1.858790998	2.16655329	-0.967578506	4.351223947	0.957242967	-1.7456224245	0.495676185	-0.22430168	1.402821974	0.5574559735	-0.122017267	0.220685805	1.483041066	-0.617504578	-1.4145740105	0.8061169615
